twitter_user,followers
,0
CUBAONU,20657
enochfurt,1328
JosMarcosFeito4,1885
elisa_esquerda,3051
nilmariomiranda,6021
PedroKemp,2905
mairakubik,10442
DanielleSChaves,2084
GlaucoS41843642,6861
anagomyde,2359
Granma_Digital,193588
Josepauloseraf3,3779
guiskd13,2739
magaiver54,1996
SergioSantosLor,3193
iG,118335
FadaIlha,4341
rodcebrian,96145
Alargolo1,1844
leidy_als,3902
Luesquerda,3140
ZellFlorizel,15069
Malu_Medeiro,11188
aeciodepapelao,54558
BlackSocialists,125583
TVJustica,365669
RicardoLeyser,3170
serafinipsol,14718
msoares,20515
neylopesmachado,11251
Sil_Mergulhao,13010
brealt,10044
verdadenarede,577
RoqueValero,1642800
ana_mota57,2793
galas_oficial,40553
VAN65429986,5230
cidinhadeangeli,2275
jerogi,5357
salgadinhomusic,48400
colorada_gaucha,5782
flaviocostaf,8476
smithnathii,75672
foradakigado,3053
Quiteria_silva,4257
DaianeVV,4066
RobertoZezinho,1429
esquerdadavida,2028
yuridcarvalho,3590
hfernandesbio,4777
PolitiQueijo,8488
carlaayres,3965
AltinoPstu,5881
PresidenciaCuba,112908
FlaRobSal,13259
AdrianaHlobo,6357
TitaRibas86,6234
roqchams,36551
Pattidutra,1285
assisfrederico,54
BancoMundial,453283
pnud,364612
a_empoderada,2923
AbovskyAndr,3694
agatabarbosa12,1767
deyvisondouglas,3861
RogerPost3,5483
Elaneide5,2165
heliacalaca,1530
AntonioAMoura1,2449
ContraEditora,2063
blogdopannunzio,136378
LindseyBoylan,33293
akela_lacy,18850
AnandWrites,676547
leticiakawano,6332
TaschnerNatalia,36326
FredLAFernandes,13520
conradohubner,28471
RCasara,23006
SoniaBelaCiao,6375
anacorso1301,2541
arquiberlula13,3308
joaodogoias,4291
mateusfgoias,6849
EstevamReboucas,7707
GutsEsquerda,9976
juliarochasim,30753
AnaErikaOlivei1,7695
dululadasilva,6626
VeraLuladaSilva,5624
VeroCavalcante,6840
manso_tatiana,9357
red_pessimist,8409
CocReality,2775
JanainaMeloo,19244
GenilseLucas,10223
NeloSohn,13405
Ma1Ferreira,12446
MarlonANTIFA,29755
oicram2016,9918
DaysePirralha,14446
zzairasantos,9269
EDIRCARVALHOMO3,9965
GauchaGremist4,3032
frulanis,26025
factchecknet,27654
FNPrefeitos,3422
crisotobias,1315
caroltypes,7604
MiltonBituca,17308
IamMzilikazi,419671
fightfor15,60062
majorityfm,94851
camanpour,3013970
edsonsantosrio,1446
eristonmattos,9490
Liomara_Amaral,9185
belagil,46212
fdesouzaalves,3801
iaraujo21_,10017
polyana2009,1193
ameliedalua,4472
tainadepaularj,5322
AnglicaLessaRo1,4149
francis30376037,5066
Dirleu_Koerner,6517
vanyhernandes,6550
vitoria11set,4756
Ale_Trinidad,6551
carlosbonancea,4993
ever_lula,6447
nalu_nas,8649
CssiaRoberta5,9343
Fique_EmCasa,6740
Valmird81069512,5131
leite42,4629
PenelopeResist,5796
BRYNNER_01,4693
VoltaPT13,6270
selmamathiass,9378
silvia_rubin,7791
NivinhaFla,50611
c_arreguy,13293
luizpaulor,26925
ivonesilva,682
Juvandia,888
LarissaSilva18,192
cidadaoprimata,16689
sacha_faria,3511
LeaderHoyer,130522
SamuelSilvaFB,33582
ABRASCO,19411
idec,42028
Sietecase,400877
sdamascenosilva,3259
elcancillercom,86554
rollingstoneBR,719690
camaraptsp,4780
radioconvos899,121075
arte_prima,14496
DerMutteraller,1200
matajoba2010,2417
ElianePed3,3765
ctonon2,6566
ezequias123123,4696
LairaGVieira,11157
luizccsouza,6568
SindipetroBahia,953
deyvidbacelar,1328
tadeuporto,1535
nelsinhosantos,570
TheLancet,571035
CFOAB,145783
drauziovarella,399834
butantanoficial,25780
FINC0,3750
RimaDonda,2181
GuiPt13,5761
RobertAntonyL,3752
Carlos_GarridoF,4281
JptSaoPaulo,70
PetralhaJosi,302
difusoramossoro,2150
kellymatos,130267
ArgentinaEnBras,1899
RdGaucha,536622
Taniamariadf,326
AlineQ12,10468
mel3flores,5632
cgtnamerica,290360
vivimendes_sp,5989
UNEafroBrasil,5708
paulobetti3,7791
cinefilo_K,50168
caomilali,3543
coalizaonegra,12551
renatosimoespt,4238
foaesp,325
radiobandnewsfm,1480719
waldenorpereira,4649
joseildoramos,4111
iago_montalvao,5689
Pragmatismo_,50198
PauloNassar,1692
KellVila,56281
gavioesoficial,362814
annavirginia,21509
priscilakmattos,12802
atailon,10355
TheLucasLange,10364
LauraCampani13,2124
BelaMegale,21047
SalvinoOliveir1,1415
galodeluta,38932
Avanci1983,3943
MrsC_Assange,31714
JPdeOliveira,27651
gabiaraujop,165
fabianotrico,384
netflix,8688136
mnfernandez,3577
rafmaracaja,5679
SilRePlp,8425
CriciellePT,1179
Leonardo_Grosso,47744
mphistoria,30120
ConJur_Oficial,222733
phvmartinez,1921
GrupoPrerro,308
vinizimmermann,664
mrnvlnt,5844
itsIuciano,10516
neli_pereira,13797
britocruz_,2541
ChirleyPankara,5409
UrbanNathalia,9257
kbatthyany,3224
eduardofvaldes,19342
fernandapsol,101667
fernandapsol,101668
BrigitteSCollet,2147
lgbtdopt13,124
ChrisinhaR,7187
FinesProjeto,4650
estevaoribeiro,3675
alamoju,14717
Jollyxx,15441
transboylife_,13851
temperodrag,21579
AnaAgroecologia,718
VCamponesa,47
mpa_campesinato,937
roberta_bastoss,24353
iyasandrali,724
LeviKaique,80734
julianaborges_1,3561
MBU_Doralyce,5602
QuebradaPod,1724
IgorDrumond,1079
idmj_racial,778
CGuedes1906,3459
alencarjp1,164
walternunes,2104
alexandrecct,14671
DanielMaiaMello,6005
reumalho,76790
ninatuitabrasil,3330
krisksilvano,8998
DougAssis3,3955
anaflaviahist,4874
simas_luiz,74891
alcysio,9250
Reserva1313,10040
EsquerdaPT13,14965
guedesvaler_mo,7016
JoseOliveiraRo5,10119
Tramontina19,7541
LoteMarcio,8880
joaogeocanhoto,5510
Alcino2010,12077
Contraf_CUT,1373
marciobjardim,5918
tacianabarros8,721
FreeLulaUK,1134
IlonaSzaboC,44754
DirceuMemorias,9604
thiamparo,56750
macsanto787,5883
patysrovari,10049
Fercarlula,7039
EiHenderson,8320
LulaDilma5,14088
JuhBatist13,9810
Laurentino68,9760
CelliaMarquess,2600
Fabi2022H,2745
aleestefan,14253
JoaoCarlos2010,4498
MancioCarla,3234
GilCarlosTex,9095
gilleite9,3149
soghetti,12278
GamaNaiton,4972
priscilamercon,8266
lula13133,8134
lolalow6,4989
capitulo03_,8816
Ecico2,8470
nave1964,19232
uraniaflores,3858
EKrominski,62166
JaqueGiarletti,13656
alinadurso,75982
adenilsonarj,6070
_Filizola,2884
Rosilene_Crf,1980
Bariequikegard,6356
dudadellorusso,18696
UBARectorado,22426
UBAonline,109793
ubasociales,26067
LiviaPetralha,6026
historialiberta,14974
gabrieldread,13003
Ludmilla,6918342
cauemoura,2630559
scelso,822
cristianoufmg,5475
thiessita,24596
manoelpedro,1556
rbcgaia,26647
DimitraVulcana,27795
dritasilva,2841
iglesbiteriana,48903
jpcuenca,35113
ipeaonline,142072
jotamarquesrj,17678
Florababylon,25424
bixarte,6241
JaquelineJsus,2161
ErikakHilton,14616
Iexandre,17636
JussaradeLima10,1691
CanaldaResistn1,543
Suxbernardo,16842
LianaCirne,8599
AlessandraNeg17,374
tuira0906,2975
SaboiaRN,5010
MariPortelass,1428
Vivabem_always,7310
ClaudineiRFerr1,1388
2010laurinha,2271
LorranPhelipe,5323
MaidaBraga,3672
TeamYouTube,891837
Ericks4ntos,774
paulouchoa_,7197
GodinhoPatricia,2262
Gerson72340523,20
bsouzaleao,1365
profabiocozza,4694
Cleo135,4027
libardi_lu,1189
robson_carrasco,1922
atfslebron,2721
ibfrancini,1382
lummf1,732
jpibiruba,2150
Ca_pq,7011
Allen_drums,1527
vemlogolucifer,1487
alicecarvalho,11586
laerciocastro,1748
zazaudi,6186
WaimiriAtroari9,3933
DilmaCAL,3458
luisandrefq_,7881
722_Aurelio,3922
rosanemacieel,6424
NiltonPT13,14358
deia_lula,4487
FerSindicalista,8366
Al3xandre3_1969,1919
AlbuquerqueNoah,21569
FREEdaFahlo,11327
NandaKCrvg,1199
OtiliaFontoura,8150
Joao_Almirante,25773
OficialOliverL,8891
DiHernandes2,3482
tiowill_,806
ERegressiva,323
AnderCuba1910,1295
rosanatessuto,1044
CairesJane,10480
natanaelneto,1195
crisbezig,2934
KalleoSandalo,11901
IMedicis,15057
vnssalin,8283
A18Elisabeth,6063
BenignoBBarboa,6013
jacquelinecava8,7194
dizissima,8848
GuimaraesHelcio,6453
adri_netto,5769
brennoblog,5825
krizz_tina,5986
Sirlene1Araujo,10364
andreribs,7918
fabiofazzion,1332
Gabriel6828,4742
Gustagusth,334
flrfabiano,2044
beca_bonne7,25225
Adriana_Accorsi,5561
Trovasatrevidas,1166
AlexandreCals1,1454
FerreiraFumaca,3340
Anitta,11551818
Marylarys,6372
omundo2anaroxo,2557
CanalRonnyTeles,632
JooAntnioMarqu6,3487
ThiagoResiste,5246
LeiaOrganaPT,15937
samuelborellipr,10298
quehorrorlais,2732
marcelaholguin,80518
CancilleriaVE,379249
thatianap,2070
rodrigovizeu,27470
mortadelinhadol,4854
RedeLULA,15786
pontopalavras,10402
SuperTataLopes,7815
Marco_Lucaa,731
MujicaDeFato,4667
z_furtado1,48006
TullipaEvans,4237
TariRodrigues,3682
skyscraprls,6282
anitablian,5346
tatiroque,32394
Danilinho,6057
giz_omartins,2158
dricodelima,21755
jonathanvicent,28600
Flaviamaynarte,6230
AmadeusDjeff,313
betafala,23114
marlenemota7,10973
mbpguedes,13546
joaomassa,9090
moema4,9121
nesimachado,10810
FridaGalo13,6686
HistoriaFlavia,4085
gabriolaz,37333
joelluiz_adv,64225
Nailahnv,45140
cissa_guimaraes,1356536
NovelloVitor,15858
vinimzo,4244
LivrePetista,9738
PapaiBozo,31045
DayseDeLuta,10722
Rugasdeconje,14276
Fabricio_RCosta,900
rodenasale,16545
mellziland,3780
llucaslouback,3056
leandrotessler,3433
BarnardB20,2547
verazimmermann1,17289
marcelohp2017,7759
nevesclaudia213,22361
escandal_izada,14773
fofunista,11549
RTaokey,5854
ninalemos,25423
hugoalbuquerque,7469
wendy_andrade,5045
blogdoailton,7934
bispo_maximus,16041
thicico,18706
LilianeRosa_,1754
veluc111,5672
ojotacamelo,11768
fvanzo,10464
DemocraciaSempr,2646
glaubermacario,22363
HiagoVinicius,1390
pastorhenriquev,54889
IsaCNN,11606
lulafalcao,11968
skDaniela,1885
wrgomes,2953
malungorei,6446
LuaSantis,7313
RACIONAISCN,262889
PodeDeter,1450
anabmoser,58444
brennoalmeida,3197
daninava,2495
elisaraujo2010,12470
NaraGil,15148
flaviaol,194255
mdavidmacedo,7973
MariliaMoscou,23075
MajorDenice,1409
edenvaladares,3638
RudaMorcillo,7640
ROBSON_LEITE,8378
arquivopolitico,8950
Adriana93673435,10472
SupertrampBella,21212
camilamoradia,1083
AdriiSouza21,10607
JoeBiden,8388471
Valdirene8975,9375
biabionica,8148
mairaacf,11780
Juruna53,3631
intersindical,925
CSBbrasil,954
novacentral,996
UGT_BRASIL,1945
CentralSindical,28258
canalpurpura,6957
RODRIGOPILHA,4414
ProgIntl,25725
renatinhois,9271
isabellataviani,106350
fabysapek,10358
MartinhaDF,14773
msffeliz,10327
BacelarBatista,20982
RosaLulaMarx,12976
phtmedeiros,8015
marcelo_semer,52353
Claudia_Sarti13,16299
EliGAlcorta,54136
IsaakDinensen,3868
NacaoZumbi,93102
JanaDahoui,16207
pierobl,13177
Daienemendes,8118
renancalheiros,165716
katalinkacg,8710
TorresFagner,10693
gabicoelho,18917
pedroborgesf,16851
LuMicheletti,30375
felipeproenco,4116
silvathiagohs,20338
MedicinaEmDBT,32100
Oparbento1,27086
RMafei,18998
marivarella,28482
1313_Monica,15818
sandra_miria,11407
jojoletthy,21138
jgprates,14957
orlandoguerreir,35381
rehventura,60156
UNTREF,16975
ivanmoraesfilho,12653
salesciro,6342
CCiocler,24079
mcgui_oficial,1618665
NayaraFelizardo,47387
trabalhosujo,29015
zanesust,3307
Petista_DSM,17105
helcimar,1943
lucyramos,187471
Tonkiel,52684
Benedictis_Ort,23680
tomphillipsin,64078
BotSentinel,202519
EmmaWatson,29218212
Malala,1780131
Emanoel1953,24874
mdenser,27950
MalcomEcks,12318
TomeiAbuso,14692
lgodan,10820
Patpernambucana,8840
ToniBulhoes,40705
MarianaxMaria,12342
castrofor,16716
HDr_Z7,8090
AnnaS_Gdottir,11083
beruta,52690
patativaparana,8055
passarosErosas,31094
EddyeLulista,13909
neusinhaschub,15788
_Adedeia,10277
llouzzada,13381
esquerdeando,22000
izanildo_sabino,9993
CaioPaduan,59783
rodrigo_boss_,3492
YviMcarneiro,48180
LeonelRadde,67494
silneyart,5119
vanessasoaresc4,10707
MarceloBackes_,38836
GraaVieira,10652
Leila_Argollo,8555
MarceloUchoa_,14703
AlessandroPT89,7311
eltoncpaulo,11851
BrunooLuccaa,11933
cristinaarfrei1,14330
MariaDoPT_,14418
Maritelivre,11433
Avanci83,9245
dosreislu,198
marcopevieira,5977
nicolebalestro,10385
Benildes13,1361
pretaferreiraa,16444
parox40,8718
chinaina,54340
Carioca_ai_dent,4375
js_andrade13,4326
gabigol,2384694
willmummy,5311
bobjackk,41945
aaa12br,4280
RodrigoBrunelll,4920
neri_schroeder,8594
ritamariabeze,3707
LampiaoJorge,7445
Marcoslulaofici,13245
ConexaoPetista,13929
DanilosLeite,9466
ricardosamelo,695
Globo_Rural,241028
lelleoficial,145362
Jefersondspg,15144
linhadotrem,27450
vinnybrandt,26555
RodrigMarchena,180574
ICLA_UNR,598
UNRoficial,26705
fbartolacci,6869
luizatrajano,49608
slpng_giants_pt,380593
DNACanhoto,16564
MarinaSereni,16511
danielganjaman,39668
joaovicente27,47614
jeferson,50504
NewsHour,1088930
marciojerry,21974
Maufalavigna,26549
AkaFigliollo,9514
lucasmaciel,123801
LuizThunderbird,120295
mcrebecca,430570
FBDemocratico,9636
FernandoHortaOf,22647
imbizita,389045
alexandrismos,89489
MarquesZero,233473
Residente,6111917
RibSte,58484
taliriapetrone,235667
Paty_OrtizC,24745
AFS_Andrada,23664
SueliCarneiro,30923
FePaesLeme,4097909
luboiteux,17582
dorafigueiredo,246937
AidaAvellaE,252943
KakaPepita,5378
KurtScherrer,1290
YahooBr,78410
paulacramon,5165
JosephEStiglitz,320731
SandinoVictoria,36009
PizarroMariaJo,248816
LeonVaLenciaA,219401
AntonioSanguino,50544
esperanza_py,16411
camlagos,6412
RoyBarreras,174742
IvanCepedaCast,1175356
MiguelSamperS,10734
petrogustavo,3937445
agenciabrasil,156884
jefdelgado,14128
PerifaConnect,3082
carlosecaicedo,113024
bacioli,7474
jessicabatan,17356
carlalemos,10347
quixote_o,12988
Dudu,193472
tabataamaralsp,324517
fpassos1964,30759
diarioonline,592507
GovernoDoCeara,306447
guilherme_amado,39965
ptdeminas,8239
mauriciostycer,313457
potenciasnegras,3692
da_goiabeira,39090
IgorJuliao2,35486
claudiofgh,972
ENFPToficial,624
CLamentaveis,156859
LadoBdoRio,26444
CaioBellandi,7096
thelminha,1016588
MichelleObama,16415447
cortezrafa,3496102
poxaflaviaaa,2071
ronaldrios,204215
FernandezAnibal,1107166
sapatenis0,31290
ultimosegundo,434286
RT_com,3066640
minutounocom,395287
millylacombe,48168
rogeriotomazjr,11450
C5N,2765809
aleberco,334880
BastienParisot,4651
YouTubeBrasil,477460
YouTube,72185380
BiaCerqueira_,4473
ivetesangalo,16906329
ValescaOficial,1701178
BuzzFeedBrasil,410670
brunalinzmeyer,56749
maristrassburge,17756
faiscaforte,11032
rclube,91356
JulianRicalde,14261
natalyneri,261022
OBQDC,362109
matheuslaneri,129039
itsannalu,106034
LilianCSA1979,13584
eduardopaes_,489714
mamysdopedro,14009
vivi_scans,32388
gechelle,13210
loka_costa,23720
dikaposi,16063
angelambfp,13061
jojopancada,33499
Amarulacarvalho,25201
TodaNayumi,13082
MarileneNsc,22452
Fariasalves2,20725
BruxaComunista,18583
edusilvafogo,21108
Sabrinaportoqn,11414
Fabiomarbinho,16955
sun_yellow,1880
fafarioss,42842
abdalafarah,24879
wcasagrandejr,126905
rai10oficial,832922
andrizek,1997881
calubarros13,29921
MonicaFPsol,28253
ninadhora,11637
RenatoMouraRJ,4627
MonaDuperron,7528
rocha_lcr,3834
MariluPamc,14783
mylaura_m,57284
rogerwaters,371054
PaulinhaBraun,29339
bkttlapa,449363
vpougy,16244
uaimatheus,238008
defavelas,23165
puttialexandre,8785
rapfalando,246563
AUC_MoussaFaki,164584
portalvermelho,50527
_AfricanUnion,553833
BBC,1705567
AFP,1895586
tainalon,28995
superlativo,2565
linndaquebrada,130630
PaulaLavigne,160356
IsaPennaPsol,23319
RodP13,31968
lolaescreva,140294
elpais_espana,520041
carosamigos,140934
opovoonline,858613
LeandroRamos,233973
kaiquebritor,218490
Raife_Sales,5402
BrasilEFE,6549
luyarafranco,20767
brenolaerte,32982
analuciaraujo_,18329
renataceribelli,534421
YuriMarcal,406091
marcoporchile,719414
opovocbn,19318
ALQadiPAL,99655
favelaempauta,13040
stevensrehen,9952
FAOBrasil,3524
unila,8910
anvisa_oficial,95629
PNUDBrasil,97565
UNAIDSBrasil,9261
CNPq_Oficial,96576
puc_sp,26968
PesquisaFapesp,89841
AgenciaFAPESP,75857
ufrj,53019
ufmg,101850
Unesp_Oficial,83262
usponline,212103
OliverStuenkel,56724
r_nagamine,6028
dadourado,39335
CONTRAFBRASIL,722
ContagBrasil,1831
AssembleiaSP,9847
atarde,478434
marioksz,88805
GrupoMetropole,301519
cristianominas,3215
OxfamBrasil,8858
WashingtonQuaq1,937
SorrisoJPT,1056
ClaraLopezObre,365550
HugoMartinezSV,27960
felipe_sola,279823
AliciaCastroAR,50789
rosana,619966
DrTedros,1260474
Donato_PT,4735
WinnieTeca,38849
DLBiller,13389
MSavarese,13400
winniebueno,128272
tweetsdeZe,2414
foquinha,244840
fabiovboas,8059
GovernodoRN,56433
jnascim,55944
milenabatista,9550
PedroPatrus,3191
radioitatiaia,1083211
Kamau_,101822
rennanleta,16991
Tatawerneck,11395483
NegraLiOficial,80051
supernoticiafm,22970
GuiCimatti,7443
PenelopyJean,15617
brunacaram,15259
fvallejoss,78079
eupelu,792624
presidente_lula,91618
pedrinhocandido,1193
marcialiapt13,1234
observotariopig,16808
tarlouze,14639
MarceloPintoBA,40967
JotaKar,17819
luizmuller,17896
enfanaleao,19403
StellaMendonca,17482
carlatoscan,9425
jose_simao,5237828
MuseuNacional,68392
IgnacioYbanez,6893
BillClinton,12143643
KatiaAbreu,148995
EmbaixadaChina,73095
pejulio,30663
LSabatella,28456
Refugees,2484984
UN_News_Centre,488005
NewYorker,8922689
sosma,146611
iberethenorio,117576
victorxis,4432
nathfinancas,404963
publico_es,1037630
juremawerneck,15655
rinconsapiencia,98580
PretaRaraRap,2036
malunguinho,31416
pretozeze,36880
ReutersBrasil,353687
GovernoMA,192853
gabriel_chalita,179003
mvbill,260095
CamaraNoticias,171594
DiraPaesCom,303476
MarceloAdnet,3369124
sallyrugg,43611
_pinheira,119914
silviolual,218348
titimuller,547511
SenadorRogerio,17734
augustodeAB,276506
veraholtzirreal,361832
RBandeirantes,249764
Boatosorg,30238
Comprova,31332
UOLEsporte,1163691
SBPCnet,182742
SantanaTiago13,83
casaoswaldocruz,5227
fiocruz,76407
agencia_fiocruz,249637
VianaNatalia,8636
inst_marielle,57588
SarahOliveira,456064
luscas,6691272
CBNoficial,300745
governosp,446764
GabrielaPrioli,976188
showdavida,10176017
TwitterRetweets,157335
